File name	WAVE0001.TXT	V 1.11									
Title comment	Nov-20										
Trigger Time	24/06/2016 17:41										
Ch	Mode	Range	Comment	Scaling	Ratio	Offset					
'24-06-16 17:41:38	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:39	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:40	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:41	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:42	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:43	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:44	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:45	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:46	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:47	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:48	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:49	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:50	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:51	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:52	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:53	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:54	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:55	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:56	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:57	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:58	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:41:59	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:00	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:01	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:02	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:03	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:04	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:05	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:06	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:07	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:08	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:09	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:10	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:11	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:12	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:13	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:14	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:15	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:16	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:17	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:18	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:19	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:20	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:21	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:22	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:23	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:24	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:25	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:26	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:27	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:28	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:29	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:30	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:31	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:32	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:33	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:34	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:35	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:36	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:37	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:38	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:39	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:40	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:41	2,26E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:42	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:43	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:44	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:45	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:46	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:47	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:48	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:49	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:50	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:51	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:52	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:53	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:54	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:55	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:56	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:57	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:58	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:42:59	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:00	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:01	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:02	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:03	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:04	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:05	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:06	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:07	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:08	2,26E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:09	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:10	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:11	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:12	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:13	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:14	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:15	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:16	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:17	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:18	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:19	2,27E+01	2,26E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:20	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:21	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:22	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:23	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:24	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:25	2,27E+01	2,26E+01	2,26E+01	2,24E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:26	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:27	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:28	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,19E+01	0
'24-06-16 17:43:29	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:30	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:31	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:32	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:33	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:34	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,19E+01	0
'24-06-16 17:43:35	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:36	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:37	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:38	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:39	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,22E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:40	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:41	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:42	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,19E+01	0
'24-06-16 17:43:43	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,19E+01	0
'24-06-16 17:43:44	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,19E+01	0
'24-06-16 17:43:45	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,19E+01	0
'24-06-16 17:43:46	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,19E+01	0
'24-06-16 17:43:47	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,22E+01	2,21E+01	2,19E+01	0
'24-06-16 17:43:48	2,27E+01	2,27E+01	2,26E+01	2,23E+01	2,21E+01	2,22E+01	2,21E+01	2,22E+01	2,21E+01	2,19E+01	0
'24-06-16 17:43:49	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,22E+01	2,21E+01	2,19E+01	0
'24-06-16 17:43:50	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,22E+01	2,21E+01	2,19E+01	0
'24-06-16 17:43:51	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,22E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:52	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,22E+01	2,21E+01	2,19E+01	0
'24-06-16 17:43:53	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,22E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:54	2,27E+01	2,27E+01	2,25E+01	2,23E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,19E+01	0
'24-06-16 17:43:55	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,22E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:56	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,19E+01	0
'24-06-16 17:43:57	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,22E+01	2,21E+01	2,19E+01	0
'24-06-16 17:43:58	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:43:59	2,27E+01	2,27E+01	2,25E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:44:00	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,21E+01	2,21E+01	2,18E+01	0
'24-06-16 17:44:01	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,22E+01	2,21E+01	2,18E+01	0
'24-06-16 17:44:02	2,27E+01	2,27E+01	2,26E+01	2,24E+01	2,21E+01	2,22E+01	2,21E+01	2,22E+01	2,21E+01	2,19E+01	0
