File name	WAVE0001.TXT	V 1.11									
Title comment	Nov-20										
Trigger Time	24/06/2011 07:20										
Ch	Mode	Range	Comment	Scaling	Ratio	Offset					
'24-06-11 07:20:23	2,12E+01	2,16E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:24	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:25	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:20:26	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,11E+01	2,09E+01	2,10E+01	2,07E+01	0
'24-06-11 07:20:27	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,07E+01	0
'24-06-11 07:20:28	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,11E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:29	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:30	2,12E+01	2,16E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,07E+01	0
'24-06-11 07:20:31	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,11E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:20:32	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:33	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:34	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:35	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,11E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:36	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,09E+01	2,11E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:37	2,12E+01	2,16E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,11E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:38	2,12E+01	2,16E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,11E+01	2,09E+01	2,10E+01	2,07E+01	0
'24-06-11 07:20:39	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:40	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,11E+01	2,10E+01	2,11E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:41	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:42	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,07E+01	0
'24-06-11 07:20:43	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:44	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,11E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:45	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:46	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:47	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:48	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:49	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,07E+01	0
'24-06-11 07:20:50	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,11E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:51	2,12E+01	2,16E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,11E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:52	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:53	2,12E+01	2,16E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:54	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,11E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:55	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,11E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:56	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:57	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:58	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:20:59	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:00	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:21:01	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,09E+01	2,07E+01	0
'24-06-11 07:21:02	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,09E+01	2,07E+01	0
'24-06-11 07:21:03	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:04	2,11E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:05	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:06	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:07	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:08	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:09	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:10	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:11	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:12	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:13	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:14	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:15	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:16	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:17	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:18	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:19	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:20	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:21	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,11E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:22	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:23	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 07:21:24	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:25	2,12E+01	2,15E+01	2,14E+01	2,19E+01	2,11E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:26	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:27	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:28	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,11E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:29	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:30	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:31	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:32	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:33	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:34	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:35	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,11E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:36	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:37	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,11E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:38	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,11E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:39	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:40	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:41	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:42	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,11E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:43	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,11E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:44	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:45	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:46	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:47	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:48	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,11E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:49	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:50	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:51	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:52	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:53	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:54	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:55	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,11E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:56	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,11E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:57	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:58	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:21:59	2,12E+01	2,16E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:00	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:01	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:02	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:03	2,12E+01	2,16E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:04	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,11E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:05	2,12E+01	2,16E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:06	2,12E+01	2,16E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:07	2,12E+01	2,16E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:08	2,12E+01	2,16E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:09	2,12E+01	2,16E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,11E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:10	2,12E+01	2,16E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,11E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:11	2,12E+01	2,16E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,11E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:12	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,11E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:13	2,12E+01	2,16E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,11E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:14	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,11E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:15	2,12E+01	2,16E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,11E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:16	2,12E+01	2,16E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:17	2,12E+01	2,16E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:18	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:19	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:20	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:21	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:22	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:23	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:24	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,11E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:25	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:26	2,12E+01	2,16E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:27	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:28	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:29	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:30	2,12E+01	2,16E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:31	2,12E+01	2,16E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:32	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:33	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:34	2,12E+01	2,16E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:35	2,11E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:36	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:37	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:38	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:39	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:40	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:41	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:42	2,12E+01	2,16E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:43	2,12E+01	2,15E+01	2,14E+01	2,17E+01	2,12E+01	2,11E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:44	2,12E+01	2,16E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:45	2,12E+01	2,15E+01	2,14E+01	2,18E+01	2,12E+01	2,11E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:46	2,12E+01	2,16E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
'24-06-11 07:22:47	2,12E+01	2,16E+01	2,14E+01	2,18E+01	2,12E+01	2,10E+01	2,11E+01	2,10E+01	2,10E+01	2,08E+01	0
