File name	WAVE0002.TXT	V 1.11									
Title comment	Nov-20										
Trigger Time	24/06/2011 15:39										
Ch	Mode	Range	Comment	Scaling	Ratio	Offset					
CH-1	Tc	2000 C	P11	Off	-	-					
CH-2	Tc	2000 C	P12	Off	-	-					
CH-3	Tc	2000 C	P13	Off	-	-					
CH-4	Tc	2000 C	P14	Off	-	-					
CH-5	Tc	2000 C	P15	Off	-	-					
CH-6	Tc	2000 C	P16	Off	-	-					
CH-7	Tc	2000 C	P17	Off	-	-					
CH-8	Tc	2000 C	P18	Off	-	-					
CH-9	Tc	2000 C	P19	Off	-	-					
CH-10	Tc	2000 C	P20	Off	-	-					
Time	CH-1[C]	CH-2[C]	CH-3[C]	CH-4[C]	CH-5[C]	CH-6[C]	CH-7[C]	CH-8[C]	CH-9[C]	CH-10[C]	Event
'24-06-11 15:40:14	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:15	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:16	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 15:40:17	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,10E+01	2,07E+01	0
'24-06-11 15:40:18	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:19	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:20	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,09E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:21	2,11E+01	2,14E+01	2,13E+01	2,12E+01	2,10E+01	2,09E+01	2,09E+01	2,11E+01	2,10E+01	2,07E+01	0
'24-06-11 15:40:22	2,11E+01	2,14E+01	2,13E+01	2,12E+01	2,10E+01	2,09E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:23	2,11E+01	2,14E+01	2,13E+01	2,12E+01	2,09E+01	2,10E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:24	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,09E+01	2,09E+01	2,10E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:25	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,09E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:26	2,11E+01	2,14E+01	2,13E+01	2,12E+01	2,10E+01	2,09E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:27	2,11E+01	2,14E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,10E+01	2,07E+01	0
'24-06-11 15:40:28	2,11E+01	2,14E+01	2,13E+01	2,12E+01	2,10E+01	2,09E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:29	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,09E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:30	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,09E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:31	2,11E+01	2,14E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:32	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,09E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:33	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:34	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:35	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,09E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:36	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,09E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:37	2,11E+01	2,14E+01	2,13E+01	2,12E+01	2,10E+01	2,09E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:38	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:39	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,09E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:40	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:41	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:42	2,11E+01	2,15E+01	2,13E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:43	2,11E+01	2,14E+01	2,13E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:40:44	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:45	2,11E+01	2,14E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:40:46	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:40:47	2,11E+01	2,14E+01	2,13E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:48	2,11E+01	2,15E+01	2,13E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,07E+01	0
'24-06-11 15:40:49	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:40:50	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:40:51	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:40:52	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:40:53	2,11E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:40:54	2,11E+01	2,15E+01	2,13E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:40:55	2,10E+01	2,15E+01	2,13E+01	2,12E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:40:56	2,11E+01	2,15E+01	2,13E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:40:57	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:40:58	2,11E+01	2,15E+01	2,13E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:40:59	2,11E+01	2,15E+01	2,13E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:00	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:01	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:02	2,11E+01	2,15E+01	2,13E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:03	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:04	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:05	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:06	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:07	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:08	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,09E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:09	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:10	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:11	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:12	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,11E+01	2,08E+01	0
'24-06-11 15:41:13	2,11E+01	2,15E+01	2,14E+01	2,13E+01	2,10E+01	2,10E+01	2,10E+01	2,10E+01	2,11E+01	2,08E+01	0
